"Step","yolo_tomo_v1 - metrics/recall","yolo_tomo_v1 - metrics/recall__MIN","yolo_tomo_v1 - metrics/recall__MAX","yDICOM4 - metrics/recall","yDICOM4 - metrics/recall__MIN","yDICOM4 - metrics/recall__MAX","yDICOM3 - metrics/recall","yDICOM3 - metrics/recall__MIN","yDICOM3 - metrics/recall__MAX"
"188","0.8333272389588979","0.8333272389588979","0.8333272389588979","0.9140254712543869","0.9140254712543869","0.9140254712543869","0.7496992045631782","0.7496992045631782","0.7496992045631782"
"189","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8329512754006309","0.8329512754006309","0.8329512754006309","0.7498549419566822","0.7498549419566822","0.7498549419566822"
"190","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.9162056200344488","0.9162056200344488","0.9162056200344488","0.7488443728281127","0.7488443728281127","0.7488443728281127"
"191","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.9162056200344488","0.9162056200344488","0.9162056200344488","0.7488443728281127","0.7488443728281127","0.7488443728281127"
"192","0.8327765635457943","0.8327765635457943","0.8327765635457943","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.666631640071775","0.666631640071775","0.666631640071775"
"193","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.9990850779857872","0.9990850779857872","0.9990850779857872","0.6664153277802","0.6664153277802","0.6664153277802"
"194","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.9161307904763402","0.9161307904763402","0.9161307904763402","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"195","0.75","0.75","0.75","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"196","0.7498398193694717","0.7498398193694717","0.7498398193694717","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"197","0.75","0.75","0.75","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"198","0.7630718836859187","0.7630718836859187","0.7630718836859187","0.9982073094004213","0.9982073094004213","0.9982073094004213","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"199","0.7770311051792533","0.7770311051792533","0.7770311051792533","0.9982154285432974","0.9982154285432974","0.9982154285432974","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"200","0.7486792347903459","0.7486792347903459","0.7486792347903459","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"201","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8322842072842073","0.8322842072842073","0.8322842072842073","0.6663526868311945","0.6663526868311945","0.6663526868311945"
"202","0.8329160629682628","0.8329160629682628","0.8329160629682628","0.8333123410386104","0.8333123410386104","0.8333123410386104","0.6666279487034203","0.6666279487034203","0.6666279487034203"
"203","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.7489161477862043","0.7489161477862043","0.7489161477862043","0.66624698092588","0.66624698092588","0.66624698092588"
"204","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.9157373856020843","0.9157373856020843","0.9157373856020843","0.7061261322038492","0.7061261322038492","0.7061261322038492"
"205","0.8332319247351927","0.8332319247351927","0.8332319247351927","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.7273538001296869","0.7273538001296869","0.7273538001296869"
"206","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.8287151492577849","0.8287151492577849","0.8287151492577849"
